名称,悬赏标签,预估价,预估工时,参与人数,发布日期,detail_url,技能要求
微擎招聘大师未授权问题,技术难题,100,1天,2,2021-10-18 15:12:31,https://zb.oschina.net/reward/detail?id=14544774,<p>之前可以正常使用，现在进入报未授权。有PHP的部署代码，寻能解决此问题的人。</p>
搭建H5游戏平台,其他悬赏,100,1天,3,2021-10-14 16:47:49,https://zb.oschina.net/reward/detail?id=15544673,"<p><span style=""color: rgb(51, 51, 51);"">现有网狐四端游戏平台源码一份，现需要工程师搭建其中的H5平台，APP和PC平台不需要搭建。</span></p><p><span style=""color: rgb(51, 51, 51);"">隐藏游戏界面充值，兑换，提现和物联卡界面。修复可能出现的BUG。需录制完整搭建视频。</span></p><p><span style=""color: rgb(51, 51, 51);"">﻿或者搭建另一套</span><span style=""color: rgb(85, 85, 85);"">前端 cocos creator,后端nodejs,管理后台php的。</span></p><p><span style=""color: rgb(85, 85, 85);"">同样要求</span><span style=""color: rgb(51, 51, 51);"">隐藏游戏界面充值，兑换，提现和物联卡界面。修复BUG。需录制完整搭建视频。</span></p><p>Q.83599696</p><p>价格商议</p>"
SpringBoot+JPA+Druid 数据库线程池不释放，导致假死,技术难题,100,3天,17,2021-09-30 19:49:37,https://zb.oschina.net/reward/detail?id=19544036,"<p>目前的程序出现一个怪现象：一开始运行好好地，运行一段时间后，就无法和数据库建立连接了，无法执行SQL操作，导致应用假死（API到Service是好的，就是数据库这里操作不行）。</p><p>日志如下（好像是无法和数据库建立连接，超时了。但是实际上用客户端工具，数据库是正常的，可以执行sql语句，就是程序里面无法和数据库连接，完成操作。下面的日志，截图也有，需要我还可以再提供）：</p><p>费用可以讨论，最近一直困扰我，要过段时间就要重启下服务，太烦了，望大神指点，报酬可议。</p><p>04:24:04.427 [http-nio-3001-exec-16] ERROR o.a.c.c.C.[.[.[.[dispatcherServlet] - [log,175] - Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.transaction.CannotCreateTransactionException: Could not open JPA EntityManager for transaction; nested exception is org.hibernate.exception.GenericJDBCException: Unable to acquire JDBC Connection] with root cause</p><p>com.alibaba.druid.pool.GetConnectionTimeoutException: wait millis 60000, active 0, maxActive 20, creating 1, createElapseMillis 1111116</p><p>at com.alibaba.druid.pool.DruidDataSource.getConnectionInternal(DruidDataSource.java:1749)</p><p>at com.alibaba.druid.pool.DruidDataSource.getConnectionDirect(DruidDataSource.java:1419)</p><p>at com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(FilterChainImpl.java:5059)</p><p>at com.alibaba.druid.filter.logging.LogFilter.dataSource_getConnection(LogFilter.java:887)</p><p>at com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(FilterChainImpl.java:5055)</p><p><br></p><p>Druid或者代码的配置，以及错误日志：</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/1.jpeg</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/2.jpeg</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/3.jpeg</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/4.jpeg</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/5.jpeg</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/6.jpeg</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/7.jpeg</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/8.png</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/9.png</p><p>https://uwjx-production-public-read.oss-cn-hangzhou.aliyuncs.com/jpa/10.jpeg</p><p><br></p><p>需要更多错误信息或者配置信息，可以加我。</p>"
游戏破解,技术难题,100,30天,0,2021-09-29 16:59:40,https://zb.oschina.net/reward/detail?id=16544062,<p>博彩电子棋牌破解漏洞会的+Q  846050504  重金 ！   详情Q谈</p>
hyper-v,技术难题,100,1天,4,2021-09-26 17:27:31,https://zb.oschina.net/reward/detail?id=13544292,<p>### 环境</p><p>+ 本地为win10专业版</p><p>+ 在hyper-v中安装了一个win10系统</p><p><br></p><p>### 想要的结果</p><p>+ 我本地win10需要连接到internet</p><p>+ hyper-v中的win10系统需要连接另外的一个网络，两个相互独立</p><p><br></p><p>+ 或者相反也行，总得有一个可以连接到internet，一个连接公司内网</p><p>### 为什么要这么做</p><p>+ 公司全部为内网环境开发，完全没有外网</p><p>+ 在工作中难免遇到不会的，需要百度，现在只能通过手机进行</p><p><br></p><p>### 你需要给我的</p><p>+ 一个详细的配置，包括点击哪个按钮，按钮的名称，以及输入的值等</p><p>+ 举例，设置环境变量</p><p>1. 按win键，搜索&nbsp;编辑系统环境变量，并点击进入</p><p>2. 点击右下角 “环境变量”</p><p>3. 在“系统变量”中找到“path” 选中，</p><p>4. 点击编辑，</p><p>**如果无法用语言描述，可截图在说明**</p><p><br></p><p>**丑话：我需要你有成功的经验，然后再来告诉我，我在没有成功之前，不会给钱**</p><p><br></p><p>可通过QQ联系我：2467881217</p>
网站渗透,技术难题,100,30天,12,2021-09-20 15:51:04,https://zb.oschina.net/reward/detail?id=14545388,<p>进入博彩网站，留下后台。跟公安部门合作，有授权，具体金额5w一单。</p>
computer vision ,其他悬赏,100,7天,4,2021-09-18 11:13:27,https://zb.oschina.net/reward/detail?id=19545352,<p>computer vision&nbsp;</p>
人工智能Python,技术难题,100,6天,8,2021-09-17 13:38:12,https://zb.oschina.net/reward/detail?id=19545849,<p>人工智能Python</p>
autojs任务,技术难题,100,5天,7,2021-09-14 16:59:25,https://zb.oschina.net/reward/detail?id=18545828,<p>打开指定app，拿取数据，post到指定url，已有部分脚本，需调试</p>
xposed开发hook,技术难题,100,7天,1,2021-09-04 20:58:00,https://zb.oschina.net/reward/detail?id=18545646,"<p>拍照定位软件，拍照后hook并用开源代码进行换脸，换的脸可以写死。</p><p>服务于私人。</p><p>详情加电报<a href=""https://t.me/a69474"" target=""_blank"" style=""color: rgb(48, 137, 220);"">https://t.me/a69474</a>2567</p><p><br></p>"
有会爬虫或者渗透的吗,其他悬赏,100,3天,26,2021-09-03 14:27:27,https://zb.oschina.net/reward/detail?id=19545478,<p>长期项目   详谈  有实力的留个联系方式</p>
uniapp-折线图自定义,技术难题,100,2天,4,2021-08-25 14:09:01,https://zb.oschina.net/reward/detail?id=12545235,"<p>技能要求：</p><p>uniapp</p><p>vue</p><p>chart</p><p><br></p><p>图表要求：</p><p><span style=""color: rgb(51, 51, 51);"">横坐标为时间（date），纵坐标为容积（Vol）</span></p><p><span style=""color: rgb(51, 51, 51);"">纵坐标容积Vol，范围最小值为0，最大值为当前油罐最大容积（接口返回）</span></p><p><span style=""color: rgb(51, 51, 51);"">时间共有六个范围可选，从左到右分别为（一天），（一周），（一个月），（6个月），（12个月）和（自定义时间）</span></p><p><span style=""color: rgb(51, 51, 51);"">&nbsp;当选择一天时，横坐标从左到右分别为0，6，12，18。</span></p><p><span style=""color: rgb(51, 51, 51);"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;当选择一周时，横坐标从左到右分别显示最近一周的日，比如今天8.3号，那么从左到右分别为28，29，30，31，1，2，3。</span></p><p><span style=""color: rgb(51, 51, 51);"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;当选择一个月时，横坐标从左到右分别显示最近一个月的日，当前日-28，当前日-21，当前日-14，当前日-7，当前日。</span></p><p><span style=""color: rgb(51, 51, 51);"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;当选择6个月时，横坐标总左到右分别为最近的6个月。</span></p><p><span style=""color: rgb(51, 51, 51);"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;当选择一年时，横坐标从左到右分别为当前月-12，当前月-8，当前月-4，当前月。</span></p><p><span style=""color: rgb(51, 51, 51);"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;当时间范围为自定义时，横坐标按照选择的时间周期平均分成四份加以显示。</span></p><p><span style=""color: rgb(51, 51, 51);"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;点击图表中任意一点时，图表上方对应显示该点的记录时间（年月日时分秒）和升数，并有一条直线加上一原点固定在选择的位置，圆点的位置会随着容积Vol的变化而变化。类似可参考附件图。</span></p><p><span style=""color: rgb(51, 51, 51);"">（附件图是苹果手机自带的股票软件）</span></p><p><span style=""color: rgb(51, 51, 51);"">支持手指滑动竖线</span></p><p><span style=""color: rgb(51, 51, 51);"">能和股票软件一样&nbsp;支持双竖线同时滑动更好。</span></p><p><span style=""color: rgb(51, 51, 51);"">数据接口已经准备好。</span></p><p><span style=""color: rgb(51, 51, 51);"">可以分阶段：</span></p><p><span style=""color: rgb(51, 51, 51);"">1）第一阶段实现单指单线滑动，这个应该大多数开源都支持（1-2天内完成）；</span></p><p><span style=""color: rgb(51, 51, 51);"">2）第二阶段实现双指双线滑动，这个苹果自带的固定软件是支持的（待定完成时间）；</span></p><p><span style=""color: rgb(51, 51, 51);"">做好一阶段接结算一次，二阶段再阶段一次，可以一次做好也可以一次结算。</span></p><p>附件另一张图表是目前已经实现的效果，待优化的效果。</p><p><br></p><p>费用可以根据实际情况议定后重新发包</p>"
抖音服务市场入驻文案,翻译写作,800,60天,1,2021-08-11 14:47:55,https://zb.oschina.net/reward/detail?id=12540983,"<p><span style=""color: rgb(85, 88, 92);"">一. 所获奖项/资质（</span><span style=""color: rgb(133, 135, 138); background-color: rgb(250, 252, 255);"">公司介绍资料</span><span style=""color: rgb(85, 88, 92);"">）</span></p><p><span style=""color: rgb(85, 88, 92);"">二：安全管理规范（</span><span style=""color: rgb(133, 135, 138); background-color: rgb(250, 252, 255);"">提供系统数据安全的管理规范和实际执行方案（包括账号密码，权限隔离，数据授权等）</span><span style=""color: rgb(85, 88, 92);"">）</span></p><p>三：<span style=""color: rgb(85, 88, 92);"">客户服务体系（</span><span style=""color: rgb(133, 135, 138); background-color: rgb(250, 252, 255);"">提供客户服务体系，即如何保障对抖音电商客户的服务方案（包括软件问题解决响应时间，处理时间，解决时间等）</span><span style=""color: rgb(85, 88, 92);"">）</span></p><p><span style=""color: rgb(85, 88, 92);"">四：客户合作案例（</span><span style=""color: rgb(133, 135, 138); background-color: rgb(250, 252, 255);"">提供至少5个客户合作案例（包括服务内容、服务数据、客户满意度）或其他电商服务平台的相关产品链接</span><span style=""color: rgb(85, 88, 92);"">）</span></p><p><span style=""color: rgb(85, 88, 92);"">--------------------------------------</span></p><p>有成功经验的，价格可谈</p>"
为Bokeh蜡烛图添加功能,技术难题,200,5天,1,2021-08-09 21:00:58,https://zb.oschina.net/reward/detail?id=18540951,<p>附件中的程序可以实现：在python中用bokeh包画蜡烛图，并用CustomJS实现xaxis的伸缩。</p><p><br></p><p>现在需要添加几项功能：</p><ol><li>隐藏bokeh画蜡烛图时的空白。当xaixs是pandas.DateTimeIndex时，因为会有大段时间没有数据（比如周末），bokeh会留下大块空白。隐藏这些空白需要用到major_label_overrides，并涉及CustomJS。</li><li>调整js_link()去掉hovertool的重影。附件代码是从stackoverflow上扒来的，本着能用就行的原则这个功能没添加。请调整好js_link()，不要让hovertool出现重影。并确保以后添加的线也能在hovertool上显示，比如均线。</li><li>添加“Page-UP” 和“Page-Down” 按键功能。确保在任意缩放大小之下都能向前和向后翻页，并保持缩放尺寸不变。</li></ol><p><br></p><p>如果能够添加内存管理功能，确保不管数据有多大都能将蜡烛图画出来，价钱可再议。</p>
利用Bareos开源软件实施Linux系统备份、VMWare vCenter备份,技术难题,1000,7天,1,2021-07-23 10:20:36,https://zb.oschina.net/reward/detail?id=12540048,<p>因项目需要，需要有Bareos实施经验的技术专家，使用Bareos+Rear实施对Linux（CentOS）系统备份； 使用Bareos对VMWare vCenter进行虚拟机备份。具体实施价格“面议”。</p>
人工智能课程制作,其他悬赏,100,30天,3,2021-07-14 14:40:29,https://zb.oschina.net/reward/detail?id=15542149,<p>现需要制作人工智能相关课程：</p><p>	自动控制原理——http://product.dangdang.com/26910479.html</p><p>	模式识别——http://product.dangdang.com/24102998.html</p><p>	智能信息处理——http://product.dangdang.com/27903739.html</p><p>	语音信号处理——http://product.dangdang.com/1730592629.html</p><p>等（本悬赏非具体价格，如有意向，具体合作模式与价格可详谈）</p><p>须有视频，指导书和PPT</p>
调用安卓底层tinyalsa库，在底层能播放wav音频文件,技术难题,100,2天,4,2021-07-14 08:27:45,https://zb.oschina.net/reward/detail?id=11542316,<p>实际上在安卓底层有成熟的播放代码，而且有编译好的可执行文件tinyplay，但是不会如何设置通道，导致播放wav文件没有声音，寻找对这块熟悉的技术人员给予帮助。悬赏金可以协商适当加点。</p>
深度学习模型可视化展示 ,其他悬赏,200,5天,2,2021-07-04 10:04:02,https://zb.oschina.net/reward/detail?id=11542719,<p>已经有训练好的模型，但是目前只有定量的数据结果。给定rgb视频作为输入，可视化的给出结果。有兴趣的加qq1678851089，要求可以长期合作，有大量的深度学习背景，熟练的调深度学习的方法包，在不同的应用背景中，适应各种数据并解决问题。不同的任务可议价。</p>
github脚本部署,技术难题,100,3天,3,2021-07-01 15:52:00,https://zb.oschina.net/reward/detail?id=16542766,<p>https://github.com/nccgroup/ScoutSuite</p><p><br></p><p>部署文档请上传  可以扫描出报告  使用这个工具</p>
移动光猫 移动定制版  HN8546X6  天津地区的超级密码获取,技术难题,100,7天,0,2021-06-26 22:45:47,https://zb.oschina.net/reward/detail?id=19542651,<p>移动光猫 移动定制版&nbsp;HN8546X6&nbsp;天津地区的超级密码获取</p><p>设备厂商标识  HWTC</p><p>运营商标识 CMCC</p><p>设备型号  HN8546X6</p><p>软件版本号  v5r020c00s90</p>
简易管理后台,其他悬赏,2000,3天,33,2021-06-21 12:13:34,https://zb.oschina.net/reward/detail?id=12542595,<p>后台已经完成。需要一名会vue的前端熟练开发者开发前段页面，前端框架已经有。有6张表的增删改查，2张表的查询。希望是深圳的开发者，可以来南山高新园地铁站，两个休息日一起，很快就可以完成了。</p>
手机视频清晰度提高咨询,技术难题,100,30天,5,2021-06-14 11:29:36,https://zb.oschina.net/reward/detail?id=17542229,<p>手机视频清晰度提高咨询</p><p>我这里有手机视频资料，需要提高清晰度</p><p><br></p>
实现类似《全民K歌》小程序的音量调节（悬赏金额可增加）,技术难题,100,30天,2,2021-06-10 18:30:26,https://zb.oschina.net/reward/detail?id=16551142,<p>如果你不熟悉小程序的音频合成的技术细节，可以不用看余下内容。</p><p><br></p><p><br></p><p>问题描述</p><p>1、微信小程序提供了两个音频文件的合成功能，但是没有提供可以调节音量后在小程序合成的功能，类似调音台（我的理解），这样就导致了例如唱歌、朗读等场景下，背景音乐和人声大小不匹配的情况，常常是背景音乐高于人声，人声听不到</p><p>2、《全民K歌》在戴耳机的条件下可以实现调音，不知道他是怎么处理的</p><p><br></p><p>以上</p><p>如果你能提供类似《全民K歌》的技术方案可以直接联系我</p><p>如果你有后台服务器端音频处理合成丰富经验的也可以联系我</p><p><br></p>
文档对比,技术难题,1000,7天,7,2021-06-10 11:18:17,https://zb.oschina.net/reward/detail?id=16551109,<p>通过对两张Pdf文档进行对比，找出文档内不相同的文字内容。pdf文档可能是文字内容或图片内容。图片内容的对比主要关注文字内容的不一致。</p><p>对比的文字可能包括纯文字、图章、手写签名等。要考虑具体文字的位置，如图章、签章的位置是否一致。</p><p>需要给出动态库或本地服务接口供主程序调用。</p><p>注意：主程序是.net 4.0编写的。</p>
java 图形化编程 限时答题,技术难题,200,7天,5,2021-06-07 19:11:28,https://zb.oschina.net/reward/detail?id=14551394,"<p><span style=""color: rgb(34, 34, 34);"">会的私聊：nancyQ412</span></p>"
OCR算法移植至移动端SDK,技术难题,100,25天,1,2021-06-07 17:30:16,https://zb.oschina.net/reward/detail?id=12551375,<p>目前有一些服务器端的OCR算法，现在需将算法模型打包成SDK移植到Android和iOS设备上，需将算法进行压缩优化等，有相关实操经验。</p><p><br></p><p>坐标：深圳</p><p><br></p><p>建议驻场开发，可包住宿费用，费用可协商。</p>
简单访谈，100-200一次。愿意做的留下联系方式,其他悬赏,100,30天,9,2021-06-07 11:00:11,https://zb.oschina.net/reward/detail?id=15551324,"<p>因毕业论文需要，需找10位公司雇员做1v1深度访谈</p><p>访谈奖金：100-200元一次，根据被访者对访谈内容的了解深度而定，<span style=""color: rgb(229, 51, 51);"">愿意做的留下联系方式</span></p><p><span style=""color: rgb(102, 102, 102);"">目标人群：曾经在众包网站发布过需求并应用于实践（也可以因收集到的提案无法与公司现有产品或策略融合而不应用于实践）的公司雇员</span></p><p><span style=""color: rgb(102, 102, 102);"">(直接或间接参与企业众包过程的公司雇员只要了解流程都欢迎您的分享）</span></p><p><span style=""color: rgb(102, 102, 102);"">访谈问题：按众包发起，筛选，执行，交流四个阶段设计的问题展开</span></p><p><span style=""color: rgb(102, 102, 102);"">访谈匿名：本人目前就读于国外高校研二，毕业论文主题为众包后的管理，所有访谈记录都将匿名，只用于科研分析。</span></p><p><span style=""color: rgb(102, 102, 102);"">访谈时间：30-50分钟</span></p><p><span style=""color: rgb(102, 102, 102);"">有任何疑问担心都欢迎随时在线联系，非常期待您的回应。</span></p><p><span style=""color: rgb(223, 35, 27); background-color: rgb(242, 242, 242);"">如果被访谈者可以提供多行业视角,熟知不同行业的企业众包后的管理流程,访谈费用可以增加&nbsp;</span></p><p><span style=""background-color: rgb(242, 242, 242); color: rgb(223, 35, 27);"">附件为访谈大纲,可以根据大纲自行判断是否符合被访谈者的要求.</span></p>"
号段数据提取,技术难题,100,5天,16,2021-06-05 13:19:01,https://zb.oschina.net/reward/detail?id=19551817,<p>提取出来的手机号有归属地，且自动分类是否属于停机，空号，等。具体私</p>
VOIP-RTP语音协议还原,技术难题,100,10天,2,2021-05-30 16:55:04,https://zb.oschina.net/reward/detail?id=13551906,"<p>通过读取pcap文件解析RTP流进行生成语音文件,语音编码为AMR-WB协议,具体报酬按照实际工作量进行付款</p>"
solana开发指导,技术难题,600,1天,2,2021-05-12 23:57:52,https://zb.oschina.net/reward/detail?id=12551094,<p>solana区块链开发指导</p>
安卓游戏盒子类似开发（简版）,技术难题,100,30天,1,2021-05-05 14:42:40,https://zb.oschina.net/reward/detail?id=12553125,"<p>该游戏盒子打包成SDK形式，嵌入在车载中控（安卓系统）屏（宽高比：1920x720）内，通过中控界面内置游戏按钮进入游戏盒子界面。</p><p>初期功能规划：</p><p>1、游戏盒子内部先期会内置3~5款游戏。</p><p>2、可通过外部（本地<span style=""color: rgb(34, 34, 34);"">存储形式+网络形式</span>）下载新的游戏apk安装新游戏，该新游戏安装完就会出现在游戏盒子内部游戏列表中。</p><p>3、当用户在游戏盒子中点击打开了某个游戏后，屏幕中主屏显示游戏，在游戏界面一侧（<span style=""color: rgb(34, 34, 34);"">左侧或右侧，用户可根据习惯左右切换该按钮列</span>）提供控制关闭退出当前游戏的功能按钮。</p><p>合作形式可议，细节电话或面聊，wx：su960581。</p><p>希望与南京个人合作。</p>"
网络安全限时答题 ,技术难题,200,5天,2,2021-05-03 20:25:22,https://zb.oschina.net/reward/detail?id=13553397,"<p>网络安全限时答题 5.10号下午14:00-16.30 。有课件。&nbsp;</p><p><span style=""color: rgb(34, 34, 34);"">会的私聊：nancyQ412</span></p>"
软件测试课程。限时答题,技术难题,300,2天,0,2021-05-03 20:18:51,https://zb.oschina.net/reward/detail?id=15553379,"<p>test课程，限时答题，5.4号，要求12小时内做完，给两篇paper，然后根据paper回答两个问题。&nbsp;</p><p><br></p><p><span style=""color: rgb(34, 34, 34);"">会的私聊：nancyQ412</span></p>"
社区版的mulesoft替代groovy,技术难题,1000,10天,1,2021-04-27 20:32:59,https://zb.oschina.net/reward/detail?id=17553991,<p>groovy脚本，四个API，使用社区版的mulesoft 实现类似groovy功能。</p>
安卓模拟器注册软件自动化,技术难题,300,1天,3,2021-04-27 08:29:15,https://zb.oschina.net/reward/detail?id=15553954,<p>需要在安卓使用手机号上注册百网盘，并绑定邮箱，在活动中通过微信支付0.99元活动</p>
一款电脑端网页插件,技术难题,100,15天,7,2021-04-22 10:06:56,https://zb.oschina.net/reward/detail?id=19553685,<p>一款电脑端网页插件，two w</p>
价格面议：让一个安卓9.0的硬件产品可以正常使用谷歌系列app,技术难题,100,10天,1,2021-04-20 14:55:23,https://zb.oschina.net/reward/detail?id=16553467,"<p>要求：不过谷歌GMS认证，也能让一个安卓9.0的硬件产品可以正常使用谷歌系列app</p><p>目前情况：我们在我们的系统集成了google services framework 和google play services，然后注册设备Android ID就能登录了，但是这种方式对用户来说比较繁琐，我们想做到自动化注册或者根本不需要注册Android ID就能正常使用（类似国外手机一样，正常使用）</p><p><a href=""https://www.google.com/android/uncertified/"" target=""_blank"" style=""color: rgb(0, 101, 255); background-color: rgb(244, 245, 247);"">https://www.google.com/android/uncertified/</a><span style=""color: rgb(23, 43, 77); background-color: rgb(244, 245, 247);"">&nbsp;</span></p><p><span style=""background-color: rgb(244, 245, 247); color: rgb(23, 43, 77);"">这个是注册Android ID的网站</span></p><p><br></p><p><br></p><p>如果能解决这问题，赏金可以面议的一万或者更多都可以面议的（100只是我自己付的），目前只是我个人替项目组发的。期待大佬们帮忙解决这问题。谢谢</p>"
gitlab钉钉自动化通知机器人,技术难题,100,14天,7,2021-04-19 14:24:35,https://zb.oschina.net/reward/detail?id=19553596,<p>1.gitlab钉钉自动化通知机器人 需要通知 提交人 代码git地址 时间等</p><p><br></p><p>直接提交方案  悬赏</p>
安卓开发支持,其他悬赏,100,20天,2,2021-04-12 17:04:59,https://zb.oschina.net/reward/detail?id=18553267,<p>技能要求三年及以上安卓开发经验，有过独立开发安卓app经历。</p><p>有一定空闲时间可以确保完成协商好的任务，当有工作任务时能抽空（非工作日也可）进行面对面沟通。</p><p>工作内容、完成方式和完成时间以及支付酬金方式双方协商确定。</p><p>仅限与南京个人开发者合作。</p>
站点UI设计,广告设计,100,7天,3,2021-04-03 18:07:21,https://zb.oschina.net/reward/detail?id=18558983,<p>网站功能已实现</p><p>需要根据风格设计UI</p><p>价格可议</p><p>Q ①⑥②②②④⑨⑤⑤③</p><p><br></p>
Telegram贴纸,翻译写作,100,1天,0,2021-03-31 09:28:23,https://zb.oschina.net/reward/detail?id=19558793,<ul><li>我们希望为Telegram组创建多个贴纸，他们需要遵守以下规定</li><li>标签需要与项目相关。</li><li>它必须是原创的（不可抄袭）</li><li>遵循项目的风格</li><li>价格可议</li><li>Q ①⑥②②②④⑨⑤⑤③</li></ul>
爬取某网站已做了虚拟电话号码保护的真实手机号,技术难题,100,10天,7,2021-03-20 09:27:51,https://zb.oschina.net/reward/detail?id=13559136,<p>爬取某网站已做了虚拟电话号码保护的真实手机号</p>
钉钉 氚云平台搭建,其他悬赏,100,1天,3,2021-03-19 14:16:25,https://zb.oschina.net/reward/detail?id=11559198,<p>氚云平台表格和流程搭建</p>
伪基站查询,技术难题,100,7天,1,2021-03-18 13:46:29,https://zb.oschina.net/reward/detail?id=19559157,<p>伪基站查询，定位</p>
破解路桥器,技术难题,100,30天,0,2021-03-14 14:35:05,https://zb.oschina.net/reward/detail?id=11559997,<p>有路桥器需要破解、伪基站破解解决方案、集群破解解决方案、伪电台破解解决方案</p>
渗透-年入百万,技术难题,100,5天,2,2021-03-09 17:07:42,https://zb.oschina.net/reward/detail?id=18559628,<p>需要一些网贷的注册用户信息，懂得渗透可以拿到数据库的。年入百万QQ：506858145</p>
无线电波解码,技术难题,100,7天,1,2021-03-09 14:21:09,https://zb.oschina.net/reward/detail?id=18559488,<p>有一段无线电波解码-给解决方案-天线-解码软件</p>
木马溯源-硬件设备推荐-解决方案（沙箱等）,技术难题,100,20天,0,2021-03-09 14:13:50,https://zb.oschina.net/reward/detail?id=12559499,<p><br></p><p>木马溯源-硬件设备推荐-解决方案（沙箱等）</p>
蓝牙指令集做一个遥控器，解决方案,技术难题,100,7天,2,2021-03-09 14:03:08,https://zb.oschina.net/reward/detail?id=11559471,<p>蓝牙指令集做一个遥控器，解决方案</p>
基于springboot的在线文档（主要是试卷）批阅系统,技术难题,100,50天,23,2021-02-20 16:46:39,https://zb.oschina.net/reward/detail?id=17557391,"<p>1.Java语言，springboot技术，可增加其他技术，springboot必须；</p><p>2.最好使用eclipse编写（或者能让我在eclipse运行）；</p><p>3.主要功能：</p><p>学生、试卷、教师管理；</p><p>试卷word文档上传，选择教师批阅，保留痕迹（打钩划线写分等</p><p>尽可能批改选项较多一些），可导出；</p><p>班级人员试卷的管理板块；</p><p><strong>预算开发时间 一个半月；</strong></p><p>4.加微信详细了解，同手机号；</p><p><strong>5.价格可商议；-- 个人项目 最好是个人接（合作开发价格恐怕不能让您满意）</strong></p><p>6.<span style=""color: rgb(34, 34, 34);"">并非大项目，</span><strong style=""color: rgb(34, 34, 34);"">仅需要实现简单功能</strong><span style=""color: rgb(34, 34, 34);"">，可以寻找模板设计，</span><strong style=""color: rgb(34, 34, 34);"">网页运行即可</strong><span style=""color: rgb(34, 34, 34);"">不需要软件；</span></p>"
红外遥控器解码,技术难题,100,7天,3,2021-02-11 17:11:14,https://zb.oschina.net/reward/detail?id=17557963,<p>红外遥控器解码</p>
求视频清晰度变大,技术难题,100,7天,6,2021-02-09 06:38:29,https://zb.oschina.net/reward/detail?id=14557732,<p>求视频清晰度变大</p>
